county,facts_stated,pages,fips,rucc,rucc_band,pop2020,platform,mentions_nov3,has_elections_page,unemp,med_income,pct_bach,pct_pov,land_sqmi,density,nov3
anderson,0,2,48001,7,"Nonmetro, has an urban core",57922,ezTask Titanium (TAC),no,yes,3.5,60800,14.536875129999999,20.4,1062.6167805071507,54.508832405559986,0
andrews,0,5,48003,6,"Nonmetro, has an urban core",18610,CivicPlus,no,yes,3,68998,19.947743039999995,11.8,1500.6856718736058,12.400997989649237,0
angelina,1,2,48005,5,"Nonmetro, has an urban core",86395,WordPress,yes,yes,4.4,56825,18.0127608,18.4,797.8649793878784,108.28273233183164,1
aransas,0,5,48007,2,Medium metro (250k-1M),23830,ezTask Titanium (TAC),no,yes,4.9,60523,27.62767453,15.1,252.0686861377136,94.53772447951297,0
archer,0,2,48009,3,Small metro (<250k),8560,ezTask Titanium (TAC),no,yes,3.5,72062,25.1756249,9.6,903.2891625900168,9.476478136254578,0
armstrong,4,2,48011,2,Medium metro (250k-1M),1848,ezTask Titanium (TAC),yes,yes,3.3,67548,21.41194725,9.9,909.1229322284419,2.032728396224901,1
atascosa,1,4,48013,1,Large metro (1M+),48981,WordPress,yes,yes,3.8,59817,15.26655897,16.4,1219.5421642302445,40.16343299693621,1
austin,0,3,48015,1,Large metro (1M+),30167,ezTask Titanium (TAC),no,yes,3.7,68630,23.420248999999995,10.4,646.4955852635169,46.66234493728783,0
bailey,1,2,48017,6,"Nonmetro, has an urban core",6904,Revize,yes,yes,4.7,52751,16.73965937,16.1,826.971822276049,8.348531127697113,1
bandera,0,5,48019,1,Large metro (1M+),20851,ezTask Titanium (TAC),no,yes,3.5,69284,25.483503979999995,11.4,790.9935617426445,26.36051797193265,0
bastrop,3,5,48021,1,Large metro (1M+),97216,ezTask Titanium (TAC),yes,yes,3.4,73403,23.345593729999997,11.5,888.2280355333369,109.44937123227214,1
baylor,0,2,48023,9,"Nonmetro, rural",3465,ezTask Titanium (TAC),no,yes,2.5,49059,28.37022133,17.6,867.480658048272,3.994325369508338,0
bee,0,2,48025,6,"Nonmetro, has an urban core",31047,CivicPlus,no,yes,5.1,48176,11.44917423,27.1,880.2393648826443,35.27108788657647,0
bell,4,5,48027,2,Medium metro (250k-1M),370647,Revize,yes,yes,4.5,62412,27.178031110000003,14.3,1053.8305853458146,351.7140279985062,1
bexar,2,5,48029,1,Large metro (1M+),2009324,CivicPlus,yes,yes,3.7,65839,31.53964555,14.8,1240.3248940011545,1619.9981228451663,1
blanco,4,3,48031,8,"Nonmetro, rural",11374,ezTask Titanium (TAC),yes,yes,2.8,82236,34.3385214,9,709.2517915072591,16.036617934836176,1
borden,0,2,48033,9,"Nonmetro, rural",631,ezTask Titanium (TAC),no,yes,1.8,75186,35.34675615,9.9,897.4427577584516,0.7031089108970612,0
bosque,0,2,48035,2,Medium metro (250k-1M),18235,CivicPlus,no,yes,3.5,61048,20.727895210000003,13.2,982.971260435632,18.550898417842486,0
bowie,0,5,48037,3,Small metro (<250k),92893,CivicPlus,no,yes,4.2,52460,22.07138621,17.8,884.939205763381,104.97105269493298,0
brazoria,0,1,48039,1,Large metro (1M+),372031,Granicus / Vision,no,no,4.4,86197,32.091351890000006,9,1363.270427523314,272.8959658252674,0
brazos,0,5,48041,2,Medium metro (250k-1M),233849,CivicPlus,no,yes,3.1,60355,42.537213040000005,22.6,586.1381884876685,398.9656442678958,0
brewster,0,2,48043,7,"Nonmetro, has an urban core",9546,ezTask Titanium (TAC),no,yes,3.2,52388,45.27064732,13.3,6183.763039746155,1.5437202135080301,0
briscoe,1,2,48045,8,"Nonmetro, rural",1435,ezTask Titanium (TAC),yes,yes,3.8,53208,19.02286902,14.7,900.0006849452294,1.594443230993017,1
brooks,2,2,48047,9,"Nonmetro, rural",7076,ezTask Titanium (TAC),yes,yes,5.5,35359,14.440783099999999,28.6,943.3545291449234,7.500891532702807,1
brown,4,2,48049,5,"Nonmetro, has an urban core",38095,ezTask Titanium (TAC),yes,yes,4.3,53455,19.937029120000002,15.3,944.45231024632,40.335546418499995,1
burleson,0,5,48051,2,Medium metro (250k-1M),17642,ezTask Titanium (TAC),no,yes,3.6,62095,23.103264590000002,14.4,659.0823357100277,26.7675206027094,0
burnet,3,5,48053,6,"Nonmetro, has an urban core",49130,CivicPlus,yes,yes,3.1,74897,28.6951799,9.9,994.8000433098514,49.38680926926481,1
caldwell,3,5,48055,1,Large metro (1M+),45883,ezTask Titanium (TAC),yes,yes,3.5,60833,16.425580509999996,12.8,544.541166638792,84.25992892918482,1
calhoun,1,4,48057,6,"Nonmetro, has an urban core",20106,WordPress,yes,yes,3.3,62742,16.896353720000004,14.6,506.9311074945437,39.66219413792121,1
callahan,2,2,48059,3,Small metro (<250k),13708,ezTask Titanium (TAC),yes,yes,3.6,63836,23.87800898,12.1,899.3721754962033,15.241743488936597,1
cameron,1,5,48061,2,Medium metro (250k-1M),421017,WordPress,no,yes,5.4,49583,20.55811391,24.6,891.7194110207711,472.14066980784065,0
camp,0,2,48063,8,"Nonmetro, rural",12464,ezTask Titanium (TAC),no,yes,4.4,52919,19.694983920000006,16.7,195.8473716699804,63.641395305538786,0
carson,3,2,48065,2,Medium metro (250k-1M),5807,ezTask Titanium (TAC),yes,yes,3,71902,25.87027298,9.1,920.2348141281622,6.310345914810448,1
cass,1,2,48067,6,"Nonmetro, has an urban core",28454,ezTask Titanium (TAC),yes,yes,4.7,54276,17.597820700000003,18.2,936.9477340959685,30.368823109919116,1
castro,0,2,48069,9,"Nonmetro, rural",7371,ezTask Titanium (TAC),no,yes,3.1,59958,20.998432949999994,16.2,894.444412333615,8.240869861067143,0
chambers,1,4,48071,1,Large metro (1M+),46571,CivicPlus,yes,yes,5.4,102146,22.966583599999996,10.4,597.0961275957363,77.99581649863065,1
cherokee,1,3,48073,6,"Nonmetro, has an urban core",50412,Other / unknown,yes,yes,4.4,50351,18.45805389,18.1,1052.9548963836748,47.876694598351456,1
childress,1,2,48075,9,"Nonmetro, rural",6664,Other / unknown,no,yes,2.8,49200,11.47840195,21.1,696.5107751015892,9.56769118040999,0
clay,0,3,48077,3,Small metro (<250k),10218,Wix,no,yes,3.7,66085,23.852971850000003,10.7,1088.758610555938,9.385000404068007,0
cochran,0,2,48079,2,Medium metro (250k-1M),2547,ezTask Titanium (TAC),no,yes,4,45766,10.720775289999999,21.3,775.0822570378518,3.2861028321483237,0
coke,2,2,48081,8,"Nonmetro, rural",3285,ezTask Titanium (TAC),yes,yes,3.3,43774,21.09343125,15.1,911.6463465154673,3.603370992003713,1
coleman,0,4,48083,8,"Nonmetro, rural",7684,ezTask Titanium (TAC),no,yes,4.6,45834,17.925354829999996,19.3,1262.9143783984398,6.08433962858546,0
collin,0,4,48085,1,Large metro (1M+),1064465,Other / unknown,no,yes,3.5,113943,54.913394,6.6,841.2671261259188,1265.3115365412168,0
collingsworth,2,2,48087,9,"Nonmetro, rural",2652,ezTask Titanium (TAC),yes,yes,3.6,52093,26.046511629999998,16.9,918.4406672816734,2.887502801731521,1
colorado,1,3,48089,8,"Nonmetro, rural",20557,Wix,yes,yes,3.5,59711,23.999718729999998,12.4,960.2911698308917,21.407048867917958,1
comal,2,3,48091,1,Large metro (1M+),161501,CivicPlus,yes,yes,3.6,92979,42.21406837,5.3,559.5281250152149,288.637858902282,1
comanche,3,4,48093,9,"Nonmetro, rural",13594,CivicPlus,yes,yes,3.6,51559,19.97509598,16.1,937.752925051073,14.496355742382384,1
concho,2,3,48095,8,"Nonmetro, rural",3303,ezTask Titanium (TAC),yes,yes,3.1,51191,13.15990819,14.9,983.755097238651,3.3575429588841246,1
cooke,1,2,48097,6,"Nonmetro, has an urban core",41668,ezTask Titanium (TAC),yes,yes,3.3,66466,23.594489279999998,13,874.8263666739382,47.63002303922366,1
coryell,0,2,48099,2,Medium metro (250k-1M),83093,ezTask Titanium (TAC),no,yes,4.5,63428,18.655540969999997,13.6,1052.2470846400913,78.96719431484192,0
cottle,0,2,48101,9,"Nonmetro, rural",1380,ezTask Titanium (TAC),no,yes,2.6,45351,21.794871790000006,18.8,900.5634902316212,1.5323739136316414,0
crane,3,3,48103,8,"Nonmetro, rural",4675,ezTask Titanium (TAC),yes,yes,4.5,67889,14.34482759,11.3,785.0691202593977,5.954889677045654,1
crockett,0,2,48105,8,"Nonmetro, rural",3098,ezTask Titanium (TAC),no,yes,3.3,71851,11.000452690000001,14.6,2807.3237220382453,1.1035421300649682,0
