run_date,commit,counties,pages,stated_total,all_four,zero,stated_polling_hours,stated_election_date,stated_registration_deadline,stated_early_voting_window
2026-07-29,44063a9e4938b49d5f82fa93074227ce9ebb9022,254,756,255,19,126,72,91,44,48
2026-07-30,8e9d784d64fea8894f2deb5e09f3701fef3e0f97,254,756,255,19,126,72,91,44,48
2026-07-31,56893aabeae186a3279ff6ea0c4099d05da33077,254,756,255,19,126,71,92,44,48
2026-08-01,9c482c60121bb71141676f5b3f0aa0744fb36b3d,254,756,254,18,125,71,93,43,47
2026-08-02,3a856395eaa1dba6d412f43a418ea85fec4d5a2b,254,756,261,20,124,72,95,45,49
2026-08-03,04ce7dfa804d35bb300810bf3f6f88dccdbc5a02,254,756,262,20,123,73,95,45,49
2026-08-04,d021fbdf8653399824a73d405bc4238933f6812c,254,756,267,20,122,73,98,46,50
2026-08-05,6b2997d2b949f5537f42e3d1591eff8cfcf7a11a,254,756,269,20,122,72,99,47,51
2026-08-06,69379b36a08e58e2a84db443cf3c06a64f4be076,254,756,268,20,123,71,99,47,51
2026-08-07,cb5e70c69ae4039787dda40cdf21a5839fd7c3fa,254,756,278,20,118,71,104,49,54
2026-08-08,ba2082d8094cc7437cb9aa7e145678a59061d07a,254,756,278,20,117,71,105,49,53
2026-08-09,c92ed8a157062452f858a0588916b8727d9189c9,254,756,278,20,117,71,105,49,53
2026-08-10,57d1a81f77eb4fcdd032d3aa8e94558f5b522444,254,756,278,20,117,71,105,49,53
2026-08-11,7a556a9b2dde25e37dcff5ab5bd4528538d44e56,254,756,274,19,117,69,106,48,51
2026-08-12,fba0768b69068c94faa78cd57099bf40f5bf3463,254,756,286,21,114,71,109,51,55
2026-08-13,c05b75074335a0e838b4324c94181780319a62e9,254,756,285,20,114,70,109,51,55
2026-08-14,5aee6dddfad935803342b2c7143e0dfc9851aeb0,254,756,284,20,115,70,109,51,54
2026-08-15,d7fb99a844a81ba4ad4f049850f975b9316265f4,254,756,292,21,113,69,114,53,56
2026-08-16,2bc697f5fb9192d32aa740607a44506266a85fbf,254,756,295,22,113,70,113,55,57
2026-08-17,1bb9f3651afc7f87893ac0bd5e3f8e476f134015,254,756,292,21,113,68,114,54,56
2026-08-18,3be83ac67f65ea43912ff7a4ea47d60412f7f61f,254,756,311,23,105,70,124,58,59
2026-08-20,2a01e26eaf90fa3fcd889b5a9270c9e02a21ebc9,254,756,314,23,102,70,127,58,59
2026-08-21,a022ef5a5452e1a720c72dfe829d7fa96bd583c8,254,756,325,24,97,70,134,60,61
2026-08-22,9570f033bf53491fb93831e317b89f09d24d370c,254,756,330,24,96,71,136,61,62
2026-08-23,93fd0db172c368166dc36daa55a01ca76f7dea52,254,756,325,24,98,70,134,60,61
2026-08-24,db1997507ffc1af4c6418a7939d61eddbf11fb22,254,756,331,24,95,71,137,61,62
2026-08-25,05357fd261e92a18afa4de26ce0acb5d849b3861,254,756,334,24,93,71,141,60,62
2026-08-26,c6fe4119750c679c125d9fea4b873d9e17d261b0,254,756,342,24,89,71,146,61,64
2026-08-27,bbc4e53052150ea9ca04e878c5ea93aece8953ec,254,756,350,26,86,71,150,63,66
2026-08-28,7210c60ebd58c37dfcc76208ed4306a9b0c2f856,254,756,351,26,84,70,152,63,66
2026-08-29,d1016b151f82ddce47be47006ed8312f96492787,254,756,351,26,84,70,152,63,66
2026-08-30,087c9e65ca790ad7d7d76b84e7b7d1d16d7e54de,254,756,347,25,85,69,151,62,65
2026-08-31,2d4c9ce47c9f58aebe3fa8a2a9f67c03f4ce4bcb,254,756,353,26,83,70,153,63,67
2026-09-01,aeb5c980b817532dca89d4df5cb247e7db7313a3,254,756,358,26,81,70,155,65,68
2026-09-02,b7ceac55cbba283c6d639a0662a0982d86cd0e60,254,756,363,27,79,71,159,65,68
2026-09-03,23171e64d403e5c0b57154264138363d2581f927,254,756,358,26,80,70,158,64,66
2026-09-04,95bb05198e110b8b58caa5d69f64f914756d8029,254,756,362,26,79,70,160,65,67
2026-09-05,fec87d4563db5558007d359b22c759086a781f4f,254,756,365,27,79,71,160,66,68
2026-09-06,1c930266b0cf0377105a8ca0c5dc7f5a338bf41a,254,756,362,27,80,70,159,66,67
2026-09-07,fc14475b310adcef48d85ceaea3e9814d4c38d53,254,756,366,27,78,71,161,66,68
2026-09-08,9e0df0ea17f36715e8c74b992478b656ce7eafa6,254,756,367,27,77,71,162,66,68
2026-09-09,cd00318ad087227384bae02ba2eb539ce3932b6e,254,756,366,27,77,70,162,66,68
2026-09-10,119cdd52843c5d7257e461301d7589d19014515b,254,756,368,26,76,70,163,67,68
2026-09-11,6a4633929ec0449a1d4a6d598bd18d5b14532de2,254,756,367,26,75,70,163,67,67
