county,platform,evidence,evidence_kind,services,note,has_generator,html_bytes
anderson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies; Google Translate,,no,46446
andrews,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58668
angelina,WordPress,WordPress 6.2.11,meta generator,,,yes,42552
aransas,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,15334
archer,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28774
armstrong,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22471
atascosa,WordPress,WordPress 7.1,meta generator,,,yes,40841
austin,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,52052
bailey,Revize,"ey county employee handbook revized july 27 2026.pdf"" title=""e",builder credit,,,no,22807
bandera,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,42096
bastrop,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,,,no,30596
baylor,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24993
bee,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,74366
bell,Revize,"<meta content=""https://cms3.revize.com/revize/bellcountytx/dep",builder credit,,,no,77290
bexar,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,129784
blanco,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,35454
borden,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,39813
bosque,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,57270
bowie,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,52169
brazoria,Granicus / Vision,"<a href=""//www.granicus.com/"">",builder credit,Tyler Technologies; Granicus services,,no,117618
brazos,CivicPlus,government websites by civicplus® </a>,builder credit,Tyler Technologies,,no,101484
brewster,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,66588
briscoe,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,17882
brooks,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,50749
brown,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25837
burleson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,69645
burnet,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,53975
caldwell,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,44989
calhoun,WordPress,https://www.calhouncotx.org/wordpress/wp-content/uploads/2021/10/birdt,same-host path,Tyler Technologies,,yes,24628
callahan,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24537
cameron,WordPress,WordPress 6.9.7,meta generator,Tyler Technologies,,yes,89543
camp,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22843
carson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21672
cass,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,56289
castro,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,27109
chambers,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,118038
cherokee,Other / unknown,,,,,no,17141
childress,Other / unknown,,,,,no,13386
clay,Wix,Wix.com Website Builder,meta generator,,,yes,131312
cochran,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,ENR / results portal,,no,26680
coke,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24785
coleman,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,48976
collin,Other / unknown,,,,,no,21493
collingsworth,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22266
colorado,Wix,static\.wixstatic\.com,builder CDN,,,no,40392
comal,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,70568
comanche,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,54017
concho,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,31625
cooke,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,44337
coryell,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42130
cottle,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,41891
crane,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25298
crockett,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22874
crosby,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23652
culberson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,41218
dallam,Other / unknown,"Sweat, hard work and pure hand ewritten HTML",generator (unrecognised),,,yes,9479
dallas,Other / unknown,,,,,no,55843
dawson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28570
deaf_smith,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,19282
delta,Drupal,Drupal 11 (https://www.drupal.org),meta generator,,,yes,123273
denton,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,167371
dewitt,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42285
dickens,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,26708
dimmit,Revize,"<meta content=""//cms9.revize.com/revize/dimmittx/_assets",builder credit,,,no,30667
donley,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,36709
duval,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39327
eastland,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,65084
ector,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,65930
edwards,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,49048
el_paso,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,94275
ellis,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,146933
erath,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,63510
falls,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,76687
fannin,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,38858
fayette,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,35808
fisher,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42251
floyd,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21323
foard,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,37442
fort_bend,Drupal,Drupal 9 (https://www.drupal.org),meta generator,,,yes,164918
franklin,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,33073
freestone,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25273
frio,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,43218
gaines,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,33320
galveston,Granicus / Vision,"<a href=""//www.granicus.com/"">",builder credit,Granicus services,,no,53591
garza,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,33805
gillespie,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58358
glasscock,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,43248
goliad,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,56885
gonzales,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39886
gray,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20829
grayson,ezTask Titanium (TAC),"m/store/apps/details?id=com.eztask.grayson.co.tx&amp;pli=1"" id",builder credit,Google Translate,,no,42533
gregg,Other / unknown,,,Tyler Technologies; Google Translate,,no,132682
grimes,GovOffice,/vertical/sites/%7b958238d0-27e6-4f6c-919e-f1d98542c5fd%7d/uploads/new,same-host path,,,no,79946
guadalupe,Granicus / Vision,"=""black"" href=""../commcourt/granicus.php"" target=""_blank"">",builder credit,Tyler Technologies,,no,16198
hale,Revize,aspx?src=https%3a%2f%2fcms2.revize.com%2frevize%2fhalecountyne,builder credit,Tyler Technologies,,no,26964
hall,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,18651
hamilton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36869
hansford,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23570
hardeman,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23261
hardin,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,44117
harris,Other / unknown,,,,,no,142090
