county,platform,evidence,evidence_kind,services,note,has_generator,html_bytes,county_name,fips,pop2020,rucc,rucc_band
anderson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies; Google Translate,,no,46446,Anderson,48001,57922,7,"Nonmetro, has an urban core"
andrews,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58668,Andrews,48003,18610,6,"Nonmetro, has an urban core"
angelina,WordPress,WordPress 6.2.11,meta generator,,,yes,42552,Angelina,48005,86395,5,"Nonmetro, has an urban core"
aransas,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,15334,Aransas,48007,23830,2,Medium metro (250k-1M)
archer,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28774,Archer,48009,8560,3,Small metro (<250k)
armstrong,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22471,Armstrong,48011,1848,2,Medium metro (250k-1M)
atascosa,WordPress,WordPress 7.1,meta generator,,,yes,40841,Atascosa,48013,48981,1,Large metro (1M+)
austin,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,52052,Austin,48015,30167,1,Large metro (1M+)
bailey,Revize,"ey county employee handbook revized july 27 2026.pdf"" title=""e",builder credit,,,no,22807,Bailey,48017,6904,6,"Nonmetro, has an urban core"
bandera,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,42096,Bandera,48019,20851,1,Large metro (1M+)
bastrop,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,,,no,30596,Bastrop,48021,97216,1,Large metro (1M+)
baylor,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24993,Baylor,48023,3465,9,"Nonmetro, rural"
bee,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,74366,Bee,48025,31047,6,"Nonmetro, has an urban core"
bell,Revize,"<meta content=""https://cms3.revize.com/revize/bellcountytx/dep",builder credit,,,no,77290,Bell,48027,370647,2,Medium metro (250k-1M)
bexar,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,129784,Bexar,48029,2009324,1,Large metro (1M+)
blanco,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,35454,Blanco,48031,11374,8,"Nonmetro, rural"
borden,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,39813,Borden,48033,631,9,"Nonmetro, rural"
bosque,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,57270,Bosque,48035,18235,2,Medium metro (250k-1M)
bowie,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,52169,Bowie,48037,92893,3,Small metro (<250k)
brazoria,Granicus / Vision,"<a href=""//www.granicus.com/"">",builder credit,Tyler Technologies; Granicus services,,no,117618,Brazoria,48039,372031,1,Large metro (1M+)
brazos,CivicPlus,government websites by civicplus® </a>,builder credit,Tyler Technologies,,no,101484,Brazos,48041,233849,2,Medium metro (250k-1M)
brewster,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,66588,Brewster,48043,9546,7,"Nonmetro, has an urban core"
briscoe,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,17882,Briscoe,48045,1435,8,"Nonmetro, rural"
brooks,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,50749,Brooks,48047,7076,9,"Nonmetro, rural"
brown,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25837,Brown,48049,38095,5,"Nonmetro, has an urban core"
burleson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,69645,Burleson,48051,17642,2,Medium metro (250k-1M)
burnet,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,53975,Burnet,48053,49130,6,"Nonmetro, has an urban core"
caldwell,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,44989,Caldwell,48055,45883,1,Large metro (1M+)
calhoun,WordPress,https://www.calhouncotx.org/wordpress/wp-content/uploads/2021/10/birdt,same-host path,Tyler Technologies,,yes,24628,Calhoun,48057,20106,6,"Nonmetro, has an urban core"
callahan,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24537,Callahan,48059,13708,3,Small metro (<250k)
cameron,WordPress,WordPress 6.9.7,meta generator,Tyler Technologies,,yes,89543,Cameron,48061,421017,2,Medium metro (250k-1M)
camp,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22843,Camp,48063,12464,8,"Nonmetro, rural"
carson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21672,Carson,48065,5807,2,Medium metro (250k-1M)
cass,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,56289,Cass,48067,28454,6,"Nonmetro, has an urban core"
castro,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,27109,Castro,48069,7371,9,"Nonmetro, rural"
chambers,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,118038,Chambers,48071,46571,1,Large metro (1M+)
cherokee,Other / unknown,,,,,no,17141,Cherokee,48073,50412,6,"Nonmetro, has an urban core"
childress,Other / unknown,,,,,no,13386,Childress,48075,6664,9,"Nonmetro, rural"
clay,Wix,Wix.com Website Builder,meta generator,,,yes,131312,Clay,48077,10218,3,Small metro (<250k)
cochran,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,ENR / results portal,,no,26680,Cochran,48079,2547,2,Medium metro (250k-1M)
coke,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24785,Coke,48081,3285,8,"Nonmetro, rural"
coleman,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,48976,Coleman,48083,7684,8,"Nonmetro, rural"
collin,Other / unknown,,,,,no,21493,Collin,48085,1064465,1,Large metro (1M+)
collingsworth,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22266,Collingsworth,48087,2652,9,"Nonmetro, rural"
colorado,Wix,static\.wixstatic\.com,builder CDN,,,no,40392,Colorado,48089,20557,8,"Nonmetro, rural"
comal,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,70568,Comal,48091,161501,1,Large metro (1M+)
comanche,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,54017,Comanche,48093,13594,9,"Nonmetro, rural"
concho,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,31625,Concho,48095,3303,8,"Nonmetro, rural"
cooke,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,44337,Cooke,48097,41668,6,"Nonmetro, has an urban core"
coryell,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42130,Coryell,48099,83093,2,Medium metro (250k-1M)
cottle,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,41891,Cottle,48101,1380,9,"Nonmetro, rural"
crane,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25298,Crane,48103,4675,8,"Nonmetro, rural"
crockett,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,22874,Crockett,48105,3098,8,"Nonmetro, rural"
crosby,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23652,Crosby,48107,5133,2,Medium metro (250k-1M)
culberson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,41218,Culberson,48109,2188,9,"Nonmetro, rural"
dallam,Other / unknown,"Sweat, hard work and pure hand ewritten HTML",generator (unrecognised),,,yes,9479,Dallam,48111,7115,7,"Nonmetro, has an urban core"
dallas,Other / unknown,,,,,no,55843,Dallas,48113,2613539,1,Large metro (1M+)
dawson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28570,Dawson,48115,12456,6,"Nonmetro, has an urban core"
deaf_smith,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,19282,Deaf Smith,48117,18583,6,"Nonmetro, has an urban core"
delta,Drupal,Drupal 11 (https://www.drupal.org),meta generator,,,yes,123273,Delta,48119,5230,8,"Nonmetro, rural"
denton,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,167371,Denton,48121,906422,1,Large metro (1M+)
dewitt,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42285,DeWitt,48123,19824,6,"Nonmetro, has an urban core"
dickens,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,26708,Dickens,48125,1770,8,"Nonmetro, rural"
dimmit,Revize,"<meta content=""//cms9.revize.com/revize/dimmittx/_assets",builder credit,,,no,30667,Dimmit,48127,8615,7,"Nonmetro, has an urban core"
donley,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,36709,Donley,48129,3258,8,"Nonmetro, rural"
duval,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39327,Duval,48131,9831,9,"Nonmetro, rural"
eastland,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,65084,Eastland,48133,17725,8,"Nonmetro, rural"
ector,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,65930,Ector,48135,165171,3,Small metro (<250k)
edwards,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,49048,Edwards,48137,1422,9,"Nonmetro, rural"
el_paso,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,94275,El Paso,48141,865657,2,Medium metro (250k-1M)
ellis,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,146933,Ellis,48139,192455,1,Large metro (1M+)
erath,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,63510,Erath,48143,42545,5,"Nonmetro, has an urban core"
falls,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,76687,Falls,48145,16968,2,Medium metro (250k-1M)
fannin,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,38858,Fannin,48147,35662,6,"Nonmetro, has an urban core"
fayette,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,35808,Fayette,48149,24435,6,"Nonmetro, has an urban core"
fisher,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42251,Fisher,48151,3672,8,"Nonmetro, rural"
floyd,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21323,Floyd,48153,5402,8,"Nonmetro, rural"
foard,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,37442,Foard,48155,1095,9,"Nonmetro, rural"
fort_bend,Drupal,Drupal 9 (https://www.drupal.org),meta generator,,,yes,164918,Fort Bend,48157,822779,1,Large metro (1M+)
franklin,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,33073,Franklin,48159,10359,9,"Nonmetro, rural"
freestone,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25273,Freestone,48161,19435,9,"Nonmetro, rural"
