county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
anderson,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
andrews,1,5,yes,no,yes,May 26 primary runoff (past),0,2026-08-20,0
angelina,1,2,yes,yes,no,Nov 3 general (upcoming),1,2026-08-20,0
aransas,0,5,yes,no,yes,May 26 primary runoff (past),0,2026-08-16,4
archer,0,2,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-12,8
armstrong,4,2,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past),4,2026-08-20,0
atascosa,1,4,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),1,2026-08-20,0
austin,0,3,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-13,7
bailey,2,2,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past),2,2026-08-20,0
bandera,1,5,yes,no,yes,Mar 3 primary (past),0,2026-08-14,6
bastrop,3,5,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),1,2026-08-18,2
baylor,1,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-15,5
bee,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-18,2
bell,4,5,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming),2,2026-08-20,0
bexar,2,5,yes,yes,no,Nov 3 general (upcoming),1,2026-08-20,0
blanco,4,3,yes,yes,yes,May 26 primary runoff (past); May 2 uniform (past); Nov 3 general (upcoming); Mar 3 primary (past),6,2026-07-28,23
borden,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-14,6
bosque,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
bowie,0,5,yes,no,no,none of the 2026 calendar,0,2026-08-18,2
brazoria,0,1,no,no,no,none of the 2026 calendar,0,2026-08-13,7
brazos,1,5,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-20,0
brewster,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-20,0
briscoe,1,2,yes,yes,yes,May 2 uniform (past); May 26 primary runoff (past); Mar 3 primary (past); Nov 3 general (upcoming),2,2026-08-07,13
