county,seat,homepage,confidence,evidence,flag_for_review
Hopkins,Sulphur Springs,https://www.hopkinscountytx.org/,confident,"'Hopkins' in page; seat 'Sulphur Springs' in page; Texas/TX present; gov signals: commissioners court, commissioner's court, county judge",
Houston,Crockett,https://www.co.houston.tx.us/,confident,"'Houston' in page; seat 'Crockett' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Howard,Big Spring,https://www.co.howard.tx.us/,confident,"'Howard' in page; seat 'Big Spring' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioner's court, courthouse",
Hudspeth,Sierra Blanca,https://www.co.hudspeth.tx.us/,confident,"'Hudspeth' in page; seat 'Sierra Blanca' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Hunt,Greenville,,unresolved,no candidate pattern verified — needs web search,yes
Hutchinson,Stinnett,https://www.co.hutchinson.tx.us/,confident,"'Hutchinson' in page; seat 'Stinnett' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Irion,Mertzon,https://www.co.irion.tx.us/,confident,"'Irion' in page; seat 'Mertzon' in page; Texas/TX present; official TLD (tx.us); gov signals: sheriff, courthouse",
Jack,Jacksboro,,unresolved,no candidate pattern verified — needs web search,yes
Jackson,Edna,https://www.co.jackson.tx.us/,confident,"'Jackson' in page; seat 'Edna' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Jasper,Jasper,https://www.co.jasper.tx.us/,confident,"'Jasper' in page; seat 'Jasper' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Jeff Davis,Fort Davis,https://www.jeffdaviscounty.texas.gov/,confident,"'Jeff Davis' in page; seat 'Fort Davis' in page; Texas/TX present; official TLD (texas.gov); gov signals: commissioners court, county judge, county clerk",
Jefferson,Beaumont,https://jeffersoncountytx.gov/,confident,"'Jefferson' in page; seat 'Beaumont' in page; Texas/TX present; official TLD (jeffersoncountytx.gov); gov signals: commissioners court, county clerk, district clerk",
Jim Hogg,Hebbronville,https://www.co.jim-hogg.tx.us/,confident,"'Jim Hogg' in page; seat 'Hebbronville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Jim Wells,Alice,https://www.co.jim-wells.tx.us/,confident,"'Jim Wells' in page; seat 'Alice' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Johnson,Cleburne,,unresolved,no candidate pattern verified — needs web search,yes
Jones,Anson,https://www.co.jones.tx.us/,confident,"'Jones' in page; seat 'Anson' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
