county,batch,page_type,url,external,notes
Hopkins,3,elections,https://www.hopkinscountytx.org/page/hopkins.VoterInfo,false,"found via link ""Voter Information"" score=11"
Hopkins,3,polling,https://www.hopkinscountytx.org/page/hopkins.Elections,false,no standing polling page; using per-election hub page (shared with other types) — review
Hopkins,3,early_voting,https://www.hopkinscountytx.org/page/hopkins.Elections,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Hopkins,3,results,https://newtools.cira.state.tx.us/page/hopkins.ArchivedElections,true,"found via ""Archived Election Results"" score=21"
Houston,3,elections,https://www.co.houston.tx.us/page/houston.Elections,false,"found via link ""Elections"" score=20"
Houston,3,polling,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Houston,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Houston,3,results,,false,"GAP: candidate unreachable (https://www.co.houston.tx.us/page/May 2, 2026 Election Day Results)"
Howard,3,elections,https://www.co.howard.tx.us/1239/Elections,false,"found via link ""Elections"" score=20"
Howard,3,polling,https://www.co.howard.tx.us/1240/Election-Information,false,no standing polling page; using per-election hub page (shared with other types) — review
Howard,3,early_voting,https://www.co.howard.tx.us/DocumentCenter/Index/76,false,"found via ""Early Voting Election Reports- Daily Vot"" score=11"
Howard,3,results,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Hudspeth,3,elections,https://www.co.hudspeth.tx.us/page/Elections%20Home,false,"found via link ""Elections & Voting"" score=25"
Hudspeth,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Hudspeth,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Hudspeth,3,results,https://www.co.hudspeth.tx.us/page/Elections%20Results%202020-2025,false,"found via ""Elections Results 2025 and Earlier"" score=8"
Hunt,3,elections,https://www.huntcounty.net/page/election,false,"found via link ""Elections & Voting"" score=25"
Hunt,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Hunt,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Hunt,3,results,https://www.huntcounty.net/page/election.2026,false,"found via ""Election Results 2026"" score=21"
Hutchinson,3,elections,https://www.co.hutchinson.tx.us/page/hutchinson.ElectionInformation,false,"found via link ""Election Information"" score=9"
Hutchinson,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Hutchinson,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Hutchinson,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Irion,3,elections,https://www.co.irion.tx.us/1205/Elections,false,"found via link ""Elections"" score=15"
Irion,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Irion,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Irion,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Jack,3,elections,https://www.jackcounty.texas.gov/elections-administrator,false,"found via link ""Elections"" score=24"
Jack,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jack,3,early_voting,https://www.jackcounty.texas.gov/elections-administrator/page/early-voting,false,"found via ""Early Voting"" score=11"
Jack,3,results,http://apps.easydoc.jackcounty.org/elections/,true,"found via ""Local Election Returns"" score=17"
Jackson,3,elections,https://www.co.jackson.tx.us/page/VotingElectionInformation,false,"found via link ""Elections & Voting"" score=20"
Jackson,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jackson,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Jackson,3,results,https://www.co.jackson.tx.us/page/BidNoticesResults,false,"found via ""Bid Notices & Results"" score=8"
Jasper,3,elections,https://www.co.jasper.tx.us/page/jasper.Elections,false,"found via link ""Elections"" score=20"
Jasper,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jasper,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Jasper,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Jeff Davis,3,elections,https://www.jeffdaviscounty.texas.gov/page/jeffdavis.Elections,false,"found via link ""Elections"" score=20"
Jeff Davis,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jeff Davis,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Jeff Davis,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Jefferson,3,elections,https://www.jeffcotxvotes.gov,true,"found via link ""Voter Registration"" score=23"
Jefferson,3,polling,https://www.jeffcotxvotes.gov/elections/elections-dept/election-polling-locations/,true,"found via ""Election Polling Locations & Times"" score=19"
Jefferson,3,early_voting,https://www.jeffcotxvotes.gov/event/early-voting-november-election-8/,true,"found via ""Early Voting – November Election"" score=9 (weak match — review)"
Jefferson,3,results,https://www.jeffcotxvotes.gov/elections/history-maps/archived-election-results/,true,"found via ""Archived Election Results"" score=21"
Jim Hogg,3,elections,https://www.co.jim-hogg.tx.us/page/jim-hogg.Elections,false,"found via link ""Elections"" score=20"
Jim Hogg,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jim Hogg,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Jim Hogg,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Jim Wells,3,elections,https://jimwellscountyelections.gov/,true,"found via link ""Elections Office"" score=26"
Jim Wells,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jim Wells,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Jim Wells,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Johnson,3,elections,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Johnson,3,polling,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Johnson,3,early_voting,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Johnson,3,results,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Jones,3,elections,https://www.co.jones.tx.us/page/jones.Elections,false,"found via link ""Elections"" score=20"
Jones,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Jones,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Jones,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Karnes,3,elections,https://www.co.karnes.tx.us/page/karnes.Elections,false,"found via link ""Elections/Voter Info"" score=20"
Karnes,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Karnes,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Karnes,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Kaufman,3,elections,https://www.kaufmancounty.net/237/Elections,false,"found via link ""Elections"" score=20"
Kaufman,3,polling,https://www.kaufmancounty.net/434/CURRENT-ELECTION-INFORMATION,false,no standing polling page; using per-election hub page (shared with other types) — review
Kaufman,3,early_voting,https://www.kaufmancounty.net/434/CURRENT-ELECTION-INFORMATION,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Kaufman,3,results,https://www.kaufmancounty.net/436/ELECTION-RESULTS,false,"found via ""ELECTION RESULTS"" score=21"
Kendall,3,elections,https://www.kendallcountytx.gov/211/Elections,false,"found via link ""Elections"" score=20"
Kendall,3,polling,https://www.kendallcountytx.gov/262/Current-Election-Information,false,no standing polling page; using per-election hub page (shared with other types) — review
Kendall,3,early_voting,https://www.kendallcountytx.gov/262/Current-Election-Information,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Kendall,3,results,https://www.kendallcountytx.gov/219/Election-Results-Maps,false,"found via ""Election Results & Maps"" score=21"
Kent,3,elections,https://www.co.kent.tx.us/page/kent.Elections,false,"found via link ""Elections"" score=20"
Kent,3,polling,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Kent,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Kent,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Kimble,3,elections,https://www.co.kimble.tx.us/page/Elections,false,"found via link ""Elections & Voting"" score=25"
Kimble,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Kimble,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Kimble,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Kinney,3,elections,https://www.co.kinney.tx.us/page/Elections,false,"found via link ""Elections - Home"" score=12"
Kinney,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Kinney,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Kinney,3,results,https://www.co.kinney.tx.us/page/Elections.2026,false,"found via ""2026 Election Results"" score=21"
Kleberg,3,elections,https://www.co.kleberg.tx.us/page/kleberg.Elections,false,"found via link ""Elections"" score=20"
Kleberg,3,polling,,false,GAP: candidate is non-HTML (application/msword) — out of scope
Kleberg,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Kleberg,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Knox,3,elections,https://www.knoxcountytexas.org/page/knox.elections,false,"found via link ""Elections"" score=20"
Knox,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Knox,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Knox,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Lamar,3,elections,https://www.lamarcountytx.gov/1206/Elections,false,"found via link ""Elections"" score=20 [via 1194 page]"
Lamar,3,polling,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Lamar,3,early_voting,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Lamar,3,results,https://results.enr.clarityelections.com/TX/Lamar/,true,"found via ""Election Results"" score=21"
Lamb,3,elections,https://www.co.lamb.tx.us/page/lamb.ElectionsHome,false,"found via link ""Elections"" score=20"
Lamb,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Lamb,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Lamb,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Lampasas,3,elections,https://www.co.lampasas.tx.us/page/lampasas.testpage2,false,"found via link ""Elections"" score=20"
Lampasas,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Lampasas,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Lampasas,3,results,,false,GAP: no distinct page found (likely folded into elections page)
La Salle,3,elections,https://www.co.la-salle.tx.us/index.php/offices/election-board,false,"found via link ""ELECTIONS DEPARTMENT"" score=20"
La Salle,3,polling,https://www.co.la-salle.tx.us/index.php/offices/election-board?view=article&id=289:general-election-for-november-8-2022%20&catid=78,false,no standing polling page; using per-election hub page (shared with other types) — review
La Salle,3,early_voting,https://www.co.la-salle.tx.us/index.php/offices/election-board?view=article&id=248:early-voting-rosters-march-2020&catid=78:government,false,"found via ""Early Voting Rosters"" score=11"
La Salle,3,results,https://www.co.la-salle.tx.us/index.php/offices/election-board?view=article&id=251:march-2020-primary-election-results&catid=78:government,false,"found via ""Election Results"" score=21"
Lavaca,3,elections,https://www.co.lavaca.tx.us/page/Elections,false,"found via link ""Elections"" score=20"
Lavaca,3,polling,https://www.co.lavaca.tx.us/page/Elections.Official-Polling-Locations,false,"found via ""Polling Locations"" score=21"
