county,seat,batch,homepage
Harris,Houston,1,https://www.harriscountytx.gov/
Dallas,Dallas,1,https://www.dallascounty.org/
Tarrant,Fort Worth,1,https://www.tarrantcountytx.gov/
Bexar,San Antonio,1,https://www.bexar.org/
Travis,Austin,1,https://www.traviscountytx.gov/
Collin,McKinney,1,https://www.collincountytx.gov/
El Paso,El Paso,1,https://www.epcounty.com/
Hidalgo,Edinburg,1,https://www.hidalgocounty.us/
Williamson,Georgetown,1,https://www.wilcotx.gov/
Webb,Laredo,1,https://www.webbcountytx.gov/
Lubbock,Lubbock,1,https://www.lubbockcounty.gov/
Bell,Belton,1,https://www.bellcountytx.com/
Galveston,Galveston,1,https://www.galvestoncountytx.gov/
Kerr,Kerrville,1,https://kerrcountytx.gov/
Gillespie,Fredericksburg,1,https://www.gillespiecounty.gov/
Medina,Hondo,1,https://www.medinatx.gov/
Llano,Llano,1,https://www.co.llano.tx.us/
Brewster,Alpine,1,https://www.brewstercounty.gov/
Presidio,Marfa,1,https://www.co.presidio.tx.us/
Hartley,Channing,1,https://www.co.hartley.tx.us/
Roberts,Miami,1,https://www.co.roberts.tx.us/
Loving,Mentone,1,https://www.co.loving.tx.us/
King,Guthrie,1,https://www.co.king.tx.us/
Kenedy,Sarita,1,https://www.kenedycountytx.gov/
Anderson,Palestine,2,
Andrews,Andrews,2,
Angelina,Lufkin,2,
Aransas,Rockport,2,
Archer,Archer City,2,
Armstrong,Claude,2,
Atascosa,Jourdanton,2,
Austin,Bellville,2,
Bailey,Muleshoe,2,
Bandera,Bandera,2,
Bastrop,Bastrop,2,
Baylor,Seymour,2,
Bee,Beeville,2,
Blanco,Johnson City,2,
Borden,Gail,2,
Bosque,Meridian,2,
Bowie,Boston,2,
Brazoria,Angleton,2,
Brazos,Bryan,2,
Briscoe,Silverton,2,
Brooks,Falfurrias,2,
Brown,Brownwood,2,
Burleson,Caldwell,2,
Burnet,Burnet,2,
Caldwell,Lockhart,2,
Calhoun,Port Lavaca,2,
Callahan,Baird,2,
Cameron,Brownsville,2,
Camp,Pittsburg,2,
Carson,Panhandle,2,
Cass,Linden,2,
Castro,Dimmitt,2,
Chambers,Anahuac,2,
Cherokee,Rusk,2,
Childress,Childress,2,
Clay,Henrietta,2,
Cochran,Morton,2,
Coke,Robert Lee,2,
Coleman,Coleman,2,
Collingsworth,Wellington,2,
Colorado,Columbus,2,
Comal,New Braunfels,2,
Comanche,Comanche,2,
Concho,Paint Rock,2,
Cooke,Gainesville,2,
Coryell,Gatesville,2,
Cottle,Paducah,2,
Crane,Crane,2,
Crockett,Ozona,2,
Crosby,Crosbyton,2,
Culberson,Van Horn,2,
Dallam,Dalhart,2,
Dawson,Lamesa,2,
Deaf Smith,Hereford,2,
Delta,Cooper,2,
Denton,Denton,2,
DeWitt,Cuero,2,
Dickens,Dickens,2,
Dimmit,Carrizo Springs,2,
Donley,Clarendon,2,
Duval,San Diego,2,
Eastland,Eastland,2,
Ector,Odessa,2,
Edwards,Rocksprings,2,
Ellis,Waxahachie,2,
Erath,Stephenville,2,
Falls,Marlin,2,
Fannin,Bonham,2,
Fayette,La Grange,2,
Fisher,Roby,2,
Floyd,Floydada,2,
Foard,Crowell,2,
Fort Bend,Richmond,2,
Franklin,Mount Vernon,2,
Freestone,Fairfield,2,
Frio,Pearsall,2,
Gaines,Seminole,2,
Garza,Post,2,
Glasscock,Garden City,2,
Goliad,Goliad,2,
Gonzales,Gonzales,2,
Gray,Pampa,2,
Grayson,Sherman,2,
Gregg,Longview,2,
Grimes,Anderson,2,
Guadalupe,Seguin,2,
Hale,Plainview,2,
Hall,Memphis,2,
Hamilton,Hamilton,2,
Hansford,Spearman,2,
Hardeman,Quanah,2,
Hardin,Kountze,2,
Harrison,Marshall,2,
Haskell,Haskell,2,
Hays,San Marcos,2,
Hemphill,Canadian,2,
Henderson,Athens,2,
Hill,Hillsboro,2,
Hockley,Levelland,2,
Hood,Granbury,2,
Hopkins,Sulphur Springs,3,
Houston,Crockett,3,
Howard,Big Spring,3,
Hudspeth,Sierra Blanca,3,
Hunt,Greenville,3,
Hutchinson,Stinnett,3,
Irion,Mertzon,3,
Jack,Jacksboro,3,
Jackson,Edna,3,
Jasper,Jasper,3,
Jeff Davis,Fort Davis,3,
Jefferson,Beaumont,3,
Jim Hogg,Hebbronville,3,
Jim Wells,Alice,3,
Johnson,Cleburne,3,
Jones,Anson,3,
Karnes,Karnes City,3,
Kaufman,Kaufman,3,
Kendall,Boerne,3,
Kent,Jayton,3,
Kimble,Junction,3,
Kinney,Brackettville,3,
Kleberg,Kingsville,3,
Knox,Benjamin,3,
Lamar,Paris,3,
Lamb,Littlefield,3,
Lampasas,Lampasas,3,
La Salle,Cotulla,3,
Lavaca,Hallettsville,3,
Lee,Giddings,3,
Leon,Centerville,3,
Liberty,Liberty,3,
Limestone,Groesbeck,3,
Lipscomb,Lipscomb,3,
Live Oak,George West,3,
Lynn,Tahoka,3,
Madison,Madisonville,3,
Marion,Jefferson,3,
Martin,Stanton,3,
Mason,Mason,3,
Matagorda,Bay City,3,
Maverick,Eagle Pass,3,
McCulloch,Brady,3,
McLennan,Waco,3,
McMullen,Tilden,3,
Menard,Menard,3,
Midland,Midland,3,
Milam,Cameron,3,
Mills,Goldthwaite,3,
Mitchell,Colorado City,3,
Montague,Montague,3,
Montgomery,Conroe,3,
Moore,Dumas,3,
Morris,Daingerfield,3,
Motley,Matador,3,
Nacogdoches,Nacogdoches,3,
Navarro,Corsicana,3,
Newton,Newton,3,
Nolan,Sweetwater,3,
Nueces,Corpus Christi,3,
Ochiltree,Perryton,3,
Oldham,Vega,3,
Orange,Orange,3,
Palo Pinto,Palo Pinto,3,
Panola,Carthage,3,
Parker,Weatherford,3,
Parmer,Farwell,3,
Pecos,Fort Stockton,3,
Polk,Livingston,3,
Potter,Amarillo,3,
Rains,Emory,3,
Randall,Canyon,3,
Reagan,Big Lake,3,
Real,Leakey,3,
Red River,Clarksville,3,
Reeves,Pecos,3,
Refugio,Refugio,3,
Robertson,Franklin,3,
Rockwall,Rockwall,3,
Runnels,Ballinger,3,
Rusk,Henderson,3,
Sabine,Hemphill,3,
San Augustine,San Augustine,3,
San Jacinto,Coldspring,3,
San Patricio,Sinton,3,
San Saba,San Saba,3,
Schleicher,Eldorado,3,
Scurry,Snyder,3,
Shackelford,Albany,3,
Shelby,Center,3,
Sherman,Stratford,3,
Smith,Tyler,3,
Somervell,Glen Rose,3,
Starr,Rio Grande City,3,
Stephens,Breckenridge,3,
Sterling,Sterling City,3,
Stonewall,Aspermont,3,
Sutton,Sonora,3,
Swisher,Tulia,3,
Taylor,Abilene,3,
Terrell,Sanderson,3,
Terry,Brownfield,3,
Throckmorton,Throckmorton,3,
Titus,Mount Pleasant,3,
Tom Green,San Angelo,3,
Trinity,Groveton,3,
Tyler,Woodville,3,
Upshur,Gilmer,3,
Upton,Rankin,3,
Uvalde,Uvalde,3,
Val Verde,Del Rio,3,
Van Zandt,Canton,3,
Victoria,Victoria,3,
Walker,Huntsville,3,
Waller,Hempstead,3,
Ward,Monahans,3,
Washington,Brenham,3,
Wharton,Wharton,3,
Wheeler,Wheeler,3,
Wichita,Wichita Falls,3,
Wilbarger,Vernon,3,
Willacy,Raymondville,3,
Wilson,Floresville,3,
Winkler,Kermit,3,
Wise,Decatur,3,
Wood,Quitman,3,
Yoakum,Plains,3,
Young,Graham,3,
Zapata,Zapata,3,
Zavala,Crystal City,3,
