county,page_type,platform,steady_bytes,episode_bytes,min_bytes,shrink_pct,snapshots_in_episode,distinct_states_in_episode,changed_after,changed_by,restored_after,restored_by,min_duration_hours,max_duration_hours,episode_class,episode_evidence,returned_to_exact_prior_state
Cherokee,elections,Other / unknown,5601,308,308,94.5,1,1,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T14:57:06+00:00,2026-07-29T15:13:04+00:00,0.0,18.8,capture_failure,http_status=403,false
Cherokee,homepage,Other / unknown,2549,308,308,87.9,1,1,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T14:57:06+00:00,2026-07-29T15:13:04+00:00,0.0,18.8,capture_failure,http_status=403,false
Cherokee,results,Other / unknown,4040,307,307,92.4,1,1,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T14:57:06+00:00,2026-07-29T15:13:04+00:00,0.0,18.8,capture_failure,http_status=403,true
Delta,elections,Drupal,5458,355,355,93.5,3,2,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2.0,21.1,capture_failure,http_status=403,false
Delta,homepage,Drupal,5013,355,355,92.9,3,2,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2.0,21.1,capture_failure,http_status=403,false
Delta,polling,Drupal,5228,355,355,93.2,3,2,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2.0,21.1,capture_failure,http_status=403,false
Delta,results,Drupal,8447,355,355,95.8,3,2,2026-07-28T16:23:52-04:00,2026-07-29T14:57:06+00:00,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2.0,21.1,capture_failure,http_status=403,false
Aransas,early_voting,ezTask Titanium (TAC),5790,0,0,100.0,11,1,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2.4,17.3,capture_failure,empty 200 body=0B,true
Aransas,polling,ezTask Titanium (TAC),2760,0,0,100.0,11,1,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2.4,17.3,capture_failure,empty 200 body=0B,true
Aransas,results,ezTask Titanium (TAC),2765,0,0,100.0,11,1,2026-07-29T12:58:51-04:00,2026-07-29T13:31:39-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2.4,17.3,capture_failure,empty 200 body=0B,true
Aransas,elections,ezTask Titanium (TAC),5438,0,0,100.0,10,1,2026-07-29T13:31:39-04:00,2026-07-29T13:56:44-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2.0,16.8,capture_failure,empty 200 body=0B,true
Orange,homepage,EvoGov,3819,781,781,79.5,1,1,2026-07-29T15:00:28-04:00,2026-07-29T15:15:11-04:00,2026-07-29T15:15:11-04:00,2026-07-29T15:37:31-04:00,0.0,0.6,county_change,"200, no error, plausible body",true
Childress,homepage,Other / unknown,1598,451,451,71.8,1,1,2026-07-29T15:15:11-04:00,2026-07-29T15:37:31-04:00,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,0.0,0.7,capture_failure,http_status=500,true
Delta,elections,Drupal,5458,355,355,93.5,1,1,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,0.0,14.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",false
Delta,homepage,Drupal,5013,355,355,92.9,1,1,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,0.0,14.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",false
Delta,polling,Drupal,5228,355,355,93.2,2,2,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,14.4,22.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",true
Delta,results,Drupal,8447,355,355,95.8,2,2,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,14.4,22.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",true
Jack,early_voting,Drupal,2155,361,361,83.2,1,1,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,0.0,14.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",false
Jack,elections,Drupal,2765,361,361,86.9,2,2,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,14.4,22.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",true
Jack,homepage,Drupal,2147,361,361,83.2,1,1,2026-07-29T15:37:31-04:00,2026-07-29T19:54:42+00:00,2026-07-29T19:54:42+00:00,2026-07-30T10:17:58+00:00,0.0,14.7,capture_failure,"error=bot_challenge_not_cleared: captured security-check page, not; http_status=403",false
Aransas,early_voting,ezTask Titanium (TAC),5790,0,0,100.0,2,1,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,0.1,8.2,capture_failure,empty 200 body=0B,true
Aransas,elections,ezTask Titanium (TAC),5438,0,0,100.0,2,1,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,0.1,8.2,capture_failure,empty 200 body=0B,true
Aransas,polling,ezTask Titanium (TAC),2760,0,0,100.0,2,1,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,0.1,8.2,capture_failure,empty 200 body=0B,true
Aransas,results,ezTask Titanium (TAC),2765,0,0,100.0,2,1,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,0.1,8.2,capture_failure,empty 200 body=0B,true
Montgomery,homepage,Revize,5658,2638,2638,53.4,2,1,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,0.1,8.2,county_change,"200, no error, plausible body",true
Orange,homepage,EvoGov,3819,781,781,79.5,3,1,2026-07-30T10:17:58+00:00,2026-07-30T14:16:46-04:00,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,0.3,24.3,county_change,"200, no error, plausible body",true
Delta,polling,Drupal,5228,355,355,93.2,1,1,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,0.0,16.2,capture_failure,http_status=403,false
Delta,results,Drupal,8447,355,355,95.8,1,1,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,0.0,16.2,capture_failure,http_status=403,false
Jack,elections,Drupal,2765,361,361,86.9,2,2,2026-07-30T14:24:26-04:00,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,2026-08-01T09:53:37+00:00,16.1,39.5,capture_failure,http_status=403,false
Dallam,elections,Other / unknown,1366,74,74,94.6,2,1,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,2026-08-01T09:53:37+00:00,2026-08-02T09:52:36+00:00,23.3,63.3,capture_failure,empty 200 body=74B,true
Dallam,homepage,Other / unknown,703,74,74,89.5,2,1,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,2026-08-01T09:53:37+00:00,2026-08-02T09:52:36+00:00,23.3,63.3,capture_failure,empty 200 body=74B,true
