county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Anderson,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Andrews,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Angelina,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Aransas,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Archer,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Armstrong,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Atascosa,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Austin,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bailey,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bandera,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bastrop,2,uocava,https://www.bastropvotes.org/voter-information-2/military-and-overseas-voters/,true,"found via ""Military and Overseas Voters"" score=37 terms=uocava_form+military_overseas_voter+citizen_abroad",ok,200,https://www.bastropvotes.org/voter-information-2/military-and-overseas-voters/,,,
Baylor,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bee,2,uocava,,false,GAP: no reachable HTML UOCAVA page (Absentee-FPCA-Ballot-by-Mail-I -> application/pdf),gap,,,,,
Bell,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bexar,1,uocava,https://elections.bexar.gov/167/Military-Overseas-Voters,true,"found via ""Military / Overseas Voters"" score=22 terms=uocava+uocava_form+move_act+military_overseas_voter+citizen_abroad",ok,200,https://elections.bexar.gov/167/Military-Overseas-Voters,,,
Blanco,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Borden,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bosque,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bowie,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Brazoria,2,uocava,https://www.brazoriacountyclerktx.gov/departments/elections/vote-by-mail/military-and-overseas-voters,true,"found via ""Military and Overseas Voters"" score=37 terms=uocava_form+military_overseas_voter",ok,200,https://www.brazoriacountyclerktx.gov/departments/elections/vote-by-mail/military-and-overseas-voters,,,
Brazos,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
