county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Anderson,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Andrews,2,voter_registration,https://www.co.andrews.tx.us/196/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.co.andrews.tx.us/196/Register-to-Vote,,,
Angelina,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Aransas,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Archer,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Armstrong,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Atascosa,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Austin,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Bailey,2,voter_registration,,false,GAP: no reachable HTML registration page (Last Day to Register to Vote f -> application/vnd.open),gap,,,,,
Bandera,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Bastrop,2,voter_registration,https://www.bastropvotes.org/voter-information-2/voter-registration-information/,true,"found via ""Voter Registration Information"" score=30",ok,200,https://www.bastropvotes.org/voter-information-2/voter-registration-information/,,,
Baylor,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Bee,2,voter_registration,https://www.beecounty.gov/274/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.beecounty.gov/274/Voter-Registration,,,
Bell,1,voter_registration,,false,GAP: no reachable HTML registration page (voter_registration.php -> 404),gap,,,,,
Bexar,1,voter_registration,https://elections.bexar.gov/180/Register-to-Vote-Registration-Changes,true,"found via ""Register to Vote"" score=29",ok,200,https://elections.bexar.gov/180/Register-to-Vote-Registration-Changes,,,
Blanco,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Borden,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Bosque,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Bowie,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Brazoria,2,voter_registration,https://www.brazoriacountyclerktx.gov/departments/elections/voter-registration,true,"found via ""Voter Registration"" score=30",ok,200,https://www.brazoriacountyclerktx.gov/departments/elections/voter-registration,,,
Brazos,2,voter_registration,https://elections.brazoscountytx.gov/register-to-vote/,false,"found via ""how to register"" score=37",ok,200,https://elections.brazoscountytx.gov/register-to-vote/,,,
Brewster,1,voter_registration,https://www.brewstercounty.gov/page/Election.Voter%20Registration%20and%20Information,false,"found via ""Voter Registration and Information"" score=20 [after 2 rejected]",ok,200,https://www.brewstercounty.gov/page/Election.Voter%20Registration%20and%20Information,,,
Briscoe,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Brooks,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Brown,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Burleson,2,voter_registration,,false,GAP: no reachable HTML registration page (gov.county.clerk -> page not about registering voters),gap,,,,,
Burnet,2,voter_registration,https://www.burnetcountytexas.org/1334/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.burnetcountytexas.org/1334/Voter-Registration,,,
Caldwell,2,voter_registration,https://www.co.caldwell.tx.us/page/Elections.Voters,false,"found via ""Register to Vote | Update Voter Informat"" score=19",ok,200,https://www.co.caldwell.tx.us/page/Elections.Voters,,,
Calhoun,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Callahan,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Cameron,2,voter_registration,https://www.cameroncountytx.gov/elections/index.php/register-to-vote/,false,"found via ""Voter Registration"" score=41",ok,200,https://www.cameroncountytx.gov/elections/index.php/register-to-vote/,,,
Camp,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Carson,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Cass,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Castro,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Chambers,2,voter_registration,https://www.chamberscountytx.gov/335/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.chamberscountytx.gov/335/Register-to-Vote,,,
Cherokee,2,voter_registration,,false,GAP: no reachable HTML registration page (registered-nurse-rn -> another county's site; nursing-rn-programs -> another county's site),gap,,,,,
Childress,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Clay,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Cochran,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Coke,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Coleman,2,voter_registration,https://www.colemancounty.gov/page/Elections.VoterRegistration,true,"found via ""Register to Vote"" score=32",ok,200,https://www.colemancounty.gov/page/Elections.VoterRegistration,,,
Collin,1,voter_registration,https://www.collincountytx.gov/elections/voter-registration-information,false,"found via ""Voter Registration Information"" score=32",ok,200,https://www.collincountytx.gov/elections/voter-registration-information,,,
Collingsworth,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Colorado,2,voter_registration,https://www.co.colorado.tx.us/page/Colorado.Elections_Registration,false,"found via ""Registration"" score=18",ok,200,https://www.co.colorado.tx.us/page/Colorado.Elections_Registration,,,
Comal,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Comanche,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Concho,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Cooke,2,voter_registration,,false,GAP: no reachable HTML registration page (voter-registration-by-state -> 404; terms -> 404; moving -> 404),gap,,,,,
Coryell,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Cottle,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Crane,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Crockett,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Crosby,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Culberson,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Dallam,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Dallas,1,voter_registration,https://www.dallascountyvotes.org/voters/registration/register/,true,"found via ""Register to Vote"" score=32",ok,200,https://www.dallascountyvotes.org/voters/registration/register/,,,
Dawson,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
DeWitt,2,voter_registration,,false,GAP: no reachable HTML registration page (WWW.TXDMV.GOV -> 403; dewitt.CheckRegister -> page not about registering voters),gap,,,,,
Deaf Smith,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Delta,2,voter_registration,https://www.deltacountytx.com/tax-assessor-collector/page/voter-registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.deltacountytx.com/tax-assessor-collector/page/voter-registration,,,
Denton,2,voter_registration,https://www.votedenton.gov/voter-information/voter-registration/,true,"found via ""Voter Registration"" score=30 [after 1 rejected]",ok,200,https://www.votedenton.gov/voter-information/voter-registration/,,,
Dickens,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Dimmit,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Donley,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Duval,2,voter_registration,,false,GAP: no reachable HTML registration page (defaultSF.htm -> 404),gap,,,,,
Eastland,2,voter_registration,,false,GAP: no reachable HTML registration page (English-Voter-Registration-App -> application/pdf; Spanish-Voter-Registration-App -> application/pdf),gap,,,,,
Ector,2,voter_registration,,false,GAP: no reachable HTML registration page (Registration-deadline-PDF -> application/pdf; REGISTRATION-DEADLINE-PDF -> application/pdf; Registration-Deadline-PDF -> application/pdf),gap,,,,,
Edwards,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
El Paso,1,voter_registration,https://epcountyvotestx.gov/voter-information/voter-registration,true,"found via ""Voter Registration"" score=30",ok,200,https://epcountyvotestx.gov/voter-information/voter-registration,,,
Ellis,2,voter_registration,http://www.elliscountytx.gov/740/Voter-Registration-Information,false,"found via ""Voter Registration Information"" score=32",ok,200,http://www.elliscountytx.gov/740/Voter-Registration-Information,,,
Erath,2,voter_registration,https://www.co.erath.tx.us/185/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.erath.tx.us/185/Voter-Registration,,,
Falls,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Fannin,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Fayette,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Fisher,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Floyd,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Foard,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Fort Bend,2,voter_registration,https://www.fortbendcountytx.gov/government/departments/elections-voter-registration/voter-registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.fortbendcountytx.gov/government/departments/elections-voter-registration/voter-registration,,,
Franklin,2,voter_registration,https://www.co.franklin.tx.us/page/franklin.VoterRegistration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.franklin.tx.us/page/franklin.VoterRegistration,,,
Freestone,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Frio,2,voter_registration,,false,GAP: no reachable HTML registration page (Frio Voter.JPG -> image/jpeg),gap,,,,,
Gaines,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Galveston,1,voter_registration,https://galvestonvotes.org/voter-registration/,true,"found via ""Voter Registration"" score=30 [after 1 rejected]",ok,200,https://galvestonvotes.org/voter-registration/,,,
Garza,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Gillespie,1,voter_registration,https://www.gillespiecounty.gov/1321/Voter-Registration-Information,false,"found via ""Voter Registration Information"" score=32",ok,200,https://www.gillespiecounty.gov/1321/Voter-Registration-Information,,,
Glasscock,2,voter_registration,https://www.co.glasscock.tx.us/page/Elections,false,"found via ""Register to Vote"" score=31",ok,200,https://www.co.glasscock.tx.us/page/Elections,,,
Goliad,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Gonzales,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Gray,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Grayson,2,voter_registration,https://www.co.grayson.tx.us/page/vote.home,false,"found via ""Voter Information / Registration"" score=6 (weak match — review)",ok,200,https://www.co.grayson.tx.us/page/vote.home,,,weak-score
Gregg,2,voter_registration,https://greggcountyvotes.gov/register-to-vote/,true,"found via ""Register to Vote"" score=29",ok,200,https://greggcountyvotes.gov/register-to-vote/,,,
Grimes,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Guadalupe,2,voter_registration,https://www.guadalupetx.gov/page/elections.voter_registration,true,"found via ""Register to vote"" score=39",ok,200,https://www.guadalupetx.gov/page/elections.voter_registration,,,
Hale,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hall,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hamilton,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hansford,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hardeman,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hardin,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Harris,1,voter_registration,https://www.hctax.net/Voter/Registration,true,"found via ""Register to Vote"" score=39",ok,200,https://www.hctax.net/Voter/Registration,,,
Harrison,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hartley,1,voter_registration,,false,GAP: no reachable HTML registration page (voter-registration-by-state -> 404; terms -> 404; moving -> 404),gap,,,,,
Haskell,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hays,2,voter_registration,https://www.hayscountytx.gov/265/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.hayscountytx.gov/265/Voter-Registration,,,
Hemphill,2,voter_registration,,false,GAP: no reachable HTML registration page (change-voter-registration -> 404; terms -> 404; moving -> 404),gap,,,,,
